Invoice,StockCode,Description,Quantity,InvoiceDate,Price,Customer ID,Country,TransactionID,Revenue,Discount,Cost,Profit,ReturnFlag,RefundAmount,Year,Month
489434,85048,15CM CHRISTMAS GLASS BALL 20 LIGHTS,12,01-12-2009 7:45,6.95,13085,United Kingdom,489434_85048,83.4,25.008547651731295,66.72000000000001,-8.328547652,,,2009,12
489434,79323P,PINK CHERRY LIGHTS,12,01-12-2009 7:45,6.75,13085,United Kingdom,489434_79323P,81,4.499673699115303,64.8,11.7003263,,,2009,12
489434,79323W, WHITE CHERRY LIGHTS,12,01-12-2009 7:45,6.75,13085,United Kingdom,489434_79323W,81,7.575383150963021,64.8,8.624616849036983,,,2009,12
489434,22041,"RECORD FRAME 7"" SINGLE SIZE ",48,01-12-2009 7:45,2.1,13085,United Kingdom,489434_22041,100.80000000000001,16.306727693050398,80.64000000000001,3.8532723069495987,,,2009,12
489434,21232,STRAWBERRY CERAMIC TRINKET BOX,24,01-12-2009 7:45,1.25,13085,United Kingdom,489434_21232,30,4.9342572072622675,24,1.0657427927377325,,,2009,12
489434,22064,PINK DOUGHNUT TRINKET POT ,24,01-12-2009 7:45,1.65,13085,United Kingdom,489434_22064,39.599999999999994,8.930158404330193,31.679999999999996,-1.010158404,,,2009,12
489434,21871,SAVE THE PLANET MUG,24,01-12-2009 7:45,1.25,13085,United Kingdom,489434_21871,30,8.367659730453505,24,-2.36765973,,,2009,12
489434,21523,FANCY FONT HOME SWEET HOME DOORMAT,10,01-12-2009 7:45,5.95,13085,United Kingdom,489434_21523,59.5,9.452283812760482,47.6,2.447716187239516,,,2009,12
489435,22350,CAT BOWL ,12,01-12-2009 7:46,2.55,13085,United Kingdom,489435_22350,30.599999999999998,2.217063110385184,24.48,3.9029368896148133,,,2009,12
489435,22349,"DOG BOWL , CHASING BALL DESIGN",12,01-12-2009 7:46,3.75,13085,United Kingdom,489435_22349,45,6.637936878978715,36,2.3620631210212846,,,2009,12
489435,22195,HEART MEASURING SPOONS LARGE,24,01-12-2009 7:46,1.65,13085,United Kingdom,489435_22195,39.599999999999994,4.750439203125813,31.679999999999996,3.169560796874185,,,2009,12
489435,22353,LUNCHBOX WITH CUTLERY FAIRY CAKES ,12,01-12-2009 7:46,2.55,13085,United Kingdom,489435_22353,30.599999999999998,3.5424208575931426,24.48,2.577579142406855,,,2009,12
489436,48173C,DOOR MAT BLACK FLOCK ,10,01-12-2009 9:06,5.95,13078,United Kingdom,489436_48173C,59.5,16.600919858516523,47.6,-4.700919859,,,2009,12
489436,21755,LOVE BUILDING BLOCK WORD,18,01-12-2009 9:06,5.45,13078,United Kingdom,489436_21755,98.10000000000001,6.570234244885883,78.48000000000002,13.049765755114107,,,2009,12
489436,21754,HOME BUILDING BLOCK WORD,3,01-12-2009 9:06,5.95,13078,United Kingdom,489436_21754,17.85,2.445960943,14.280000000000001,1.1240390566578204,,,2009,12
489436,84879,ASSORTED COLOUR BIRD ORNAMENT,16,01-12-2009 9:06,1.69,13078,United Kingdom,489436_84879,27.04,4.678471457791568,21.632,0.7295285422084294,,,2009,12
489436,22119, PEACE WOODEN BLOCK LETTERS,3,01-12-2009 9:06,6.95,13078,United Kingdom,489436_22119,20.85,5.033750058264517,16.680000000000003,-0.863750058,,,2009,12
489436,22142,CHRISTMAS CRAFT WHITE FAIRY ,12,01-12-2009 9:06,1.45,13078,United Kingdom,489436_22142,17.4,4.354935718626649,13.92,-0.874935719,,,2009,12
489436,22296,HEART IVORY TRELLIS LARGE,12,01-12-2009 9:06,1.65,13078,United Kingdom,489436_22296,19.799999999999997,5.623097963918602,15.839999999999998,-1.663097964,,,2009,12
489436,22295,HEART FILIGREE DOVE LARGE,12,01-12-2009 9:06,1.65,13078,United Kingdom,489436_22295,19.799999999999997,1.8905263937886752,15.839999999999998,2.069473606211324,,,2009,12
